  table_schema  |      table_name      |     column_name     |        data_type         | max_len | is_nullable 
----------------+----------------------+---------------------+--------------------------+---------+-------------
 administration | tenant               | Id                  | uuid                     |         | NO
 administration | tenant               | Name                | character varying        |     100 | NO
 administration | tenant               | IsActive            | boolean                  |         | NO
 administration | tenant               | CreatedAt           | timestamp with time zone |         | NO
 administration | tenant               | UpdatedAt           | timestamp with time zone |         | NO
 finance        | g_l_account          | Id                  | uuid                     |         | NO
 finance        | g_l_account          | tenant_id           | uuid                     |         | NO
 finance        | g_l_account          | No                  | character varying        |      20 | NO
 finance        | g_l_account          | Name                | character varying        |      50 | NO
 finance        | g_l_account          | AccountType         | smallint                 |         | NO
 finance        | g_l_account          | IncomeBalance       | smallint                 |         | NO
 finance        | g_l_account          | Blocked             | boolean                  |         | NO
 finance        | g_l_account          | CreatedAt           | timestamp with time zone |         | NO
 finance        | g_l_account          | UpdatedAt           | timestamp with time zone |         | NO
 inventory      | item                 | Id                  | uuid                     |         | NO
 inventory      | item                 | tenant_id           | uuid                     |         | NO
 inventory      | item                 | No                  | character varying        |      20 | NO
 inventory      | item                 | Description         | character varying        |      50 | NO
 inventory      | item                 | BaseUnitOfMeasure   | character varying        |      10 | NO
 inventory      | item                 | UnitPrice           | numeric                  |         | NO
 inventory      | item                 | UnitCost            | numeric                  |         | NO
 inventory      | item                 | Blocked             | boolean                  |         | NO
 inventory      | item                 | CreatedAt           | timestamp with time zone |         | NO
 inventory      | item                 | UpdatedAt           | timestamp with time zone |         | NO
 inventory      | item_unit_of_measure | Id                  | uuid                     |         | NO
 inventory      | item_unit_of_measure | tenant_id           | uuid                     |         | NO
 inventory      | item_unit_of_measure | ItemNo              | character varying        |      20 | NO
 inventory      | item_unit_of_measure | Code                | character varying        |      10 | NO
 inventory      | item_unit_of_measure | QtyPerUnitOfMeasure | numeric                  |         | NO
 inventory      | item_unit_of_measure | CreatedAt           | timestamp with time zone |         | NO
 inventory      | item_unit_of_measure | UpdatedAt           | timestamp with time zone |         | NO
 inventory      | location             | Id                  | uuid                     |         | NO
 inventory      | location             | tenant_id           | uuid                     |         | NO
 inventory      | location             | Code                | character varying        |      10 | NO
 inventory      | location             | Name                | character varying        |      50 | NO
 inventory      | location             | Address             | character varying        |      50 | NO
 inventory      | location             | City                | character varying        |      30 | NO
 inventory      | location             | CreatedAt           | timestamp with time zone |         | NO
 inventory      | location             | UpdatedAt           | timestamp with time zone |         | NO
 purchasing     | purchase_header      | Id                  | uuid                     |         | NO
 purchasing     | purchase_header      | tenant_id           | uuid                     |         | NO
 purchasing     | purchase_header      | DocumentType        | text                     |         | NO
 purchasing     | purchase_header      | No                  | character varying        |      20 | NO
 purchasing     | purchase_header      | BuyFromVendorNo     | character varying        |      20 | NO
 purchasing     | purchase_header      | PayToName           | character varying        |      50 | NO
 purchasing     | purchase_header      | PostingDate         | timestamp with time zone |         | NO
 purchasing     | purchase_header      | CreatedAt           | timestamp with time zone |         | NO
 purchasing     | purchase_header      | UpdatedAt           | timestamp with time zone |         | NO
 purchasing     | vendor               | Id                  | uuid                     |         | NO
 purchasing     | vendor               | tenant_id           | uuid                     |         | NO
 purchasing     | vendor               | No                  | character varying        |      20 | NO
 purchasing     | vendor               | Name                | character varying        |      50 | NO
 purchasing     | vendor               | Address             | character varying        |      50 | NO
 purchasing     | vendor               | City                | character varying        |      30 | NO
 purchasing     | vendor               | Contact             | character varying        |      50 | NO
 purchasing     | vendor               | Blocked             | boolean                  |         | NO
 purchasing     | vendor               | CreatedAt           | timestamp with time zone |         | NO
 purchasing     | vendor               | UpdatedAt           | timestamp with time zone |         | NO
 sales          | customer             | Id                  | uuid                     |         | NO
 sales          | customer             | tenant_id           | uuid                     |         | NO
 sales          | customer             | No                  | character varying        |      20 | NO
 sales          | customer             | Name                | character varying        |      50 | NO
 sales          | customer             | Address             | character varying        |      50 | NO
 sales          | customer             | City                | character varying        |      30 | NO
 sales          | customer             | Contact             | character varying        |      50 | NO
 sales          | customer             | Blocked             | boolean                  |         | NO
 sales          | customer             | CreatedAt           | timestamp with time zone |         | NO
 sales          | customer             | UpdatedAt           | timestamp with time zone |         | NO
 sales          | sales_header         | Id                  | uuid                     |         | NO
 sales          | sales_header         | tenant_id           | uuid                     |         | NO
 sales          | sales_header         | DocumentType        | text                     |         | NO
 sales          | sales_header         | No                  | character varying        |      20 | NO
 sales          | sales_header         | SellToCustomerNo    | character varying        |      20 | NO
 sales          | sales_header         | BillToName          | character varying        |      50 | NO
 sales          | sales_header         | PostingDate         | timestamp with time zone |         | NO
 sales          | sales_header         | CreatedAt           | timestamp with time zone |         | NO
 sales          | sales_header         | UpdatedAt           | timestamp with time zone |         | NO
 security       | user                 | Id                  | uuid                     |         | NO
 security       | user                 | Username            | character varying        |      50 | NO
 security       | user                 | Email               | character varying        |     100 | NO
 security       | user                 | PasswordHash        | text                     |         | NO
 security       | user                 | IsActive            | boolean                  |         | NO
 security       | user                 | tenant_id           | uuid                     |         | NO
 security       | user                 | CreatedAt           | timestamp with time zone |         | NO
 security       | user                 | UpdatedAt           | timestamp with time zone |         | NO
(85 rows)

