  table_schema  |      table_name       |     column_name     |        data_type         | max_len | is_nullable 
----------------+-----------------------+---------------------+--------------------------+---------+-------------
 administration | tenant                | Id                  | uuid                     |         | NO
 administration | tenant                | Name                | character varying        |     100 | NO
 administration | tenant                | IsActive            | boolean                  |         | NO
 administration | tenant                | CreatedAt           | timestamp with time zone |         | NO
 administration | tenant                | UpdatedAt           | timestamp with time zone |         | NO
 erp            | customer              | Id                  | uuid                     |         | NO
 erp            | customer              | tenant_id           | uuid                     |         | NO
 erp            | customer              | No                  | character varying        |      20 | NO
 erp            | customer              | Name                | character varying        |      50 | NO
 erp            | customer              | Address             | character varying        |      50 | NO
 erp            | customer              | City                | character varying        |      30 | NO
 erp            | customer              | Contact             | character varying        |      50 | NO
 erp            | customer              | Blocked             | boolean                  |         | NO
 erp            | customer              | CreatedAt           | timestamp with time zone |         | NO
 erp            | customer              | UpdatedAt           | timestamp with time zone |         | NO
 erp            | g_l_account           | Id                  | uuid                     |         | NO
 erp            | g_l_account           | tenant_id           | uuid                     |         | NO
 erp            | g_l_account           | No                  | character varying        |      20 | NO
 erp            | g_l_account           | Name                | character varying        |      50 | NO
 erp            | g_l_account           | AccountType         | smallint                 |         | NO
 erp            | g_l_account           | IncomeBalance       | smallint                 |         | NO
 erp            | g_l_account           | Blocked             | boolean                  |         | NO
 erp            | g_l_account           | CreatedAt           | timestamp with time zone |         | NO
 erp            | g_l_account           | UpdatedAt           | timestamp with time zone |         | NO
 erp            | item                  | Id                  | uuid                     |         | NO
 erp            | item                  | No                  | character varying        |      20 | NO
 erp            | item                  | Description         | character varying        |      50 | NO
 erp            | item                  | BaseUnitOfMeasure   | character varying        |      10 | NO
 erp            | item                  | UnitPrice           | numeric                  |         | NO
 erp            | item                  | UnitCost            | numeric                  |         | NO
 erp            | item                  | Blocked             | boolean                  |         | NO
 erp            | item                  | tenant_id           | uuid                     |         | NO
 erp            | item                  | CreatedAt           | timestamp with time zone |         | NO
 erp            | item                  | UpdatedAt           | timestamp with time zone |         | NO
 erp            | item_unit_of_measure  | Id                  | uuid                     |         | NO
 erp            | item_unit_of_measure  | tenant_id           | uuid                     |         | NO
 erp            | item_unit_of_measure  | ItemNo              | character varying        |      20 | NO
 erp            | item_unit_of_measure  | Code                | character varying        |      10 | NO
 erp            | item_unit_of_measure  | QtyPerUnitOfMeasure | numeric                  |         | NO
 erp            | item_unit_of_measure  | CreatedAt           | timestamp with time zone |         | NO
 erp            | item_unit_of_measure  | UpdatedAt           | timestamp with time zone |         | NO
 erp            | location              | Id                  | uuid                     |         | NO
 erp            | location              | tenant_id           | uuid                     |         | NO
 erp            | location              | Code                | character varying        |      10 | NO
 erp            | location              | Name                | character varying        |      50 | NO
 erp            | location              | Address             | character varying        |      50 | NO
 erp            | location              | City                | character varying        |      30 | NO
 erp            | location              | CreatedAt           | timestamp with time zone |         | NO
 erp            | location              | UpdatedAt           | timestamp with time zone |         | NO
 erp            | purchase_header       | Id                  | uuid                     |         | NO
 erp            | purchase_header       | tenant_id           | uuid                     |         | NO
 erp            | purchase_header       | DocumentType        | text                     |         | NO
 erp            | purchase_header       | No                  | character varying        |      20 | NO
 erp            | purchase_header       | BuyFromVendorNo     | character varying        |      20 | NO
 erp            | purchase_header       | PayToName           | character varying        |      50 | NO
 erp            | purchase_header       | PostingDate         | timestamp with time zone |         | NO
 erp            | purchase_header       | CreatedAt           | timestamp with time zone |         | NO
 erp            | purchase_header       | UpdatedAt           | timestamp with time zone |         | NO
 erp            | sales_header          | Id                  | uuid                     |         | NO
 erp            | sales_header          | tenant_id           | uuid                     |         | NO
 erp            | sales_header          | DocumentType        | text                     |         | NO
 erp            | sales_header          | No                  | character varying        |      20 | NO
 erp            | sales_header          | SellToCustomerNo    | character varying        |      20 | NO
 erp            | sales_header          | BillToName          | character varying        |      50 | NO
 erp            | sales_header          | PostingDate         | timestamp with time zone |         | NO
 erp            | sales_header          | CreatedAt           | timestamp with time zone |         | NO
 erp            | sales_header          | UpdatedAt           | timestamp with time zone |         | NO
 erp            | tenant                | Id                  | uuid                     |         | NO
 erp            | tenant                | Name                | character varying        |     100 | NO
 erp            | tenant                | IsActive            | boolean                  |         | NO
 erp            | tenant                | CreatedAt           | timestamp with time zone |         | NO
 erp            | tenant                | UpdatedAt           | timestamp with time zone |         | NO
 erp            | user                  | Id                  | uuid                     |         | NO
 erp            | user                  | Username            | character varying        |      50 | NO
 erp            | user                  | Email               | character varying        |     100 | NO
 erp            | user                  | PasswordHash        | text                     |         | NO
 erp            | user                  | IsActive            | boolean                  |         | NO
