  table_schema  |           table_name           |          column_name           |        data_type         | max_len | is_nullable 
----------------+--------------------------------+--------------------------------+--------------------------+---------+-------------
 administration | acc_sched_chart_setup_line     | Id                             | uuid                     |         | NO
 administration | acc_sched_chart_setup_line     | tenant_id                      | uuid                     |         | NO
 administration | acc_sched_chart_setup_line     | user_id                        | text                     |         | NO
 administration | acc_sched_chart_setup_line     | name                           | text                     |         | NO
 administration | acc_sched_chart_setup_line     | account_schedule_name          | text                     |         | NO
 administration | acc_sched_chart_setup_line     | account_schedule_line_no       | integer                  |         | NO
 administration | acc_sched_chart_setup_line     | column_layout_name             | text                     |         | NO
 administration | acc_sched_chart_setup_line     | column_layout_line_no          | integer                  |         | NO
 administration | acc_sched_chart_setup_line     | original_measure_name          | text                     |         | NO
 administration | acc_sched_chart_setup_line     | measure_name                   | text                     |         | NO
 administration | acc_sched_chart_setup_line     | measure_value                  | text                     |         | NO
 administration | acc_sched_chart_setup_line     | chart_type                     | smallint                 |         | NO
 administration | acc_sched_chart_setup_line     | CreatedAt                      | timestamp with time zone |         | NO
 administration | acc_sched_chart_setup_line     | UpdatedAt                      | timestamp with time zone |         | NO
 administration | acc_sched_kpi_web_srv_line     | Id                             | uuid                     |         | NO
 administration | acc_sched_kpi_web_srv_line     | tenant_id                      | uuid                     |         | NO
 administration | acc_sched_kpi_web_srv_line     | acc_schedule_name              | text                     |         | NO
 administration | acc_sched_kpi_web_srv_line     | CreatedAt                      | timestamp with time zone |         | NO
 administration | acc_sched_kpi_web_srv_line     | UpdatedAt                      | timestamp with time zone |         | NO
 administration | acc_sched_kpi_web_srv_setup    | Id                             | uuid                     |         | NO
 administration | acc_sched_kpi_web_srv_setup    | tenant_id                      | uuid                     |         | NO
 administration | acc_sched_kpi_web_srv_setup    | primary_key                    | text                     |         | NO
 administration | acc_sched_kpi_web_srv_setup    | forecasted_values_start        | smallint                 |         | NO
 administration | acc_sched_kpi_web_srv_setup    | g_l_budget_name                | text                     |         | NO
 administration | acc_sched_kpi_web_srv_setup    | period                         | smallint                 |         | NO
 administration | acc_sched_kpi_web_srv_setup    | view_by                        | smallint                 |         | NO
 administration | acc_sched_kpi_web_srv_setup    | web_service_name               | text                     |         | NO
 administration | acc_sched_kpi_web_srv_setup    | CreatedAt                      | timestamp with time zone |         | NO
 administration | acc_sched_kpi_web_srv_setup    | UpdatedAt                      | timestamp with time zone |         | NO
 administration | acc_schedule_line              | Id                             | uuid                     |         | NO
 administration | acc_schedule_line              | tenant_id                      | uuid                     |         | NO
 administration | acc_schedule_line              | schedule_name                  | text                     |         | NO
 administration | acc_schedule_line              | line_no                        | integer                  |         | NO
 administration | acc_schedule_line              | row_no                         | text                     |         | NO
 administration | acc_schedule_line              | description                    | text                     |         | NO
 administration | acc_schedule_line              | totaling                       | text                     |         | NO
 administration | acc_schedule_line              | totaling_type                  | smallint                 |         | NO
 administration | acc_schedule_line              | new_page                       | boolean                  |         | NO
 administration | acc_schedule_line              | indentation                    | integer                  |         | NO
 administration | acc_schedule_line              | show                           | smallint                 |         | NO
 administration | acc_schedule_line              | dimension_1_totaling           | text                     |         | NO
 administration | acc_schedule_line              | dimension_2_totaling           | text                     |         | NO
 administration | acc_schedule_line              | dimension_3_totaling           | text                     |         | NO
 administration | acc_schedule_line              | dimension_4_totaling           | text                     |         | NO
 administration | acc_schedule_line              | bold                           | boolean                  |         | NO
 administration | acc_schedule_line              | italic                         | boolean                  |         | NO
 administration | acc_schedule_line              | underline                      | boolean                  |         | NO
 administration | acc_schedule_line              | show_opposite_sign             | boolean                  |         | NO
 administration | acc_schedule_line              | row_type                       | smallint                 |         | NO
 administration | acc_schedule_line              | amount_type                    | smallint                 |         | NO
 administration | acc_schedule_line              | double_underline               | boolean                  |         | NO
 administration | acc_schedule_line              | cost_center_totaling           | text                     |         | NO
 administration | acc_schedule_line              | cost_object_totaling           | text                     |         | NO
 administration | acc_schedule_line              | CreatedAt                      | timestamp with time zone |         | NO
 administration | acc_schedule_line              | UpdatedAt                      | timestamp with time zone |         | NO
 administration | acc_schedule_name              | Id                             | uuid                     |         | NO
 administration | acc_schedule_name              | tenant_id                      | uuid                     |         | NO
 administration | acc_schedule_name              | name                           | text                     |         | NO
 administration | acc_schedule_name              | description                    | text                     |         | NO
 administration | acc_schedule_name              | default_column_layout          | text                     |         | NO
 administration | acc_schedule_name              | analysis_view_name             | text                     |         | NO
 administration | acc_schedule_name              | CreatedAt                      | timestamp with time zone |         | NO
 administration | acc_schedule_name              | UpdatedAt                      | timestamp with time zone |         | NO
 administration | account_schedules_chart_setup  | Id                             | uuid                     |         | NO
 administration | account_schedules_chart_setup  | tenant_id                      | uuid                     |         | NO
 administration | account_schedules_chart_setup  | user_id                        | text                     |         | NO
 administration | account_schedules_chart_setup  | name                           | text                     |         | NO
 administration | account_schedules_chart_setup  | description                    | text                     |         | NO
 administration | account_schedules_chart_setup  | account_schedule_name          | text                     |         | NO
 administration | account_schedules_chart_setup  | column_layout_name             | text                     |         | NO
 administration | account_schedules_chart_setup  | base_x_axis_on                 | smallint                 |         | NO
 administration | account_schedules_chart_setup  | start_date                     | timestamp with time zone |         | YES
 administration | account_schedules_chart_setup  | end_date                       | timestamp with time zone |         | YES
 administration | account_schedules_chart_setup  | period_length                  | smallint                 |         | NO
 administration | account_schedules_chart_setup  | no_of_periods                  | integer                  |         | NO
 administration | account_schedules_chart_setup  | last_viewed                    | boolean                  |         | NO
 administration | account_schedules_chart_setup  | look_ahead                     | boolean                  |         | NO
 administration | account_schedules_chart_setup  | CreatedAt                      | timestamp with time zone |         | NO
 administration | account_schedules_chart_setup  | UpdatedAt                      | timestamp with time zone |         | NO
 administration | add_in                         | Id                             | uuid                     |         | NO
 administration | add_in                         | tenant_id                      | uuid                     |         | NO
 administration | add_in                         | add_in_name                    | text                     |         | NO
 administration | add_in                         | public_key_token               | text                     |         | NO
 administration | add_in                         | version                        | text                     |         | NO
 administration | add_in                         | category                       | smallint                 |         | NO
 administration | add_in                         | description                    | text                     |         | NO
 administration | add_in                         | resource                       | bytea                    |         | YES
 administration | add_in                         | CreatedAt                      | timestamp with time zone |         | NO
